"State/Union Territory","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Andhra Pradesh","3966","4389","5002","5720","6458","7218","6367","7208","8059","8923","10189"
"Arunachal Pradesh","21","21","21","21","22","22","22","22","22","22","145"
"Assam ","542","596","657","727","815","914","1021","1116","1235","1384","1582"
"Bihar ","949","1024","1121","751","1352","1432","1577","1739","1960","2357","2673"
"Chhatisgarh","857","948","1076","1216","1375","1541","1734","1935","2115","2436","2766"
"Goa","341","366","397","436","482","529","579","624","674","727","790"
"Gujarat","5576","6008","6508","7087","7817","8622","9497","10289","10999","11873","12993"
"Haryana ","1949","2122","2279","2548","2854","3087","3528","3973","4425","4792","5377"
"Himachal Pradesh","217","244","269","289","301","334","342","371","494","538","622"
"Jammu & Kashmir","330","364","399","439","478","524","570","620","668","739","927"
"Jharkhand","909","984","1101","1217","1357","1505","1686","1850","2038","2767","3113"
"Karnataka","3537","3636","3738","3977","5436","6220","5486","6217","6953","9044","9930"
"Kerala","2112","2315","2552","2792","3122","3559","3957","4430","4860","5398","6072"
"Madhya Pradesh","3095","3173","3459","3804","4188","4609","5047","5523","6011","6591","7356"
"Maharashtra","6760","7414","8134","8969","9936","10966","12171","13335","14451","15768","17434"
"Manipur  ","77","90","97","106","114","124","133","147","147","194","207"
"Meghalaya","62","67","73","73","92","104","117","128","142","158","176"
"Mizoram","31","34","37","42","47","52","61","66","70","80","93"
"Nagaland","160","177","162","172","172","184","210","226","240","254","273"
"Orissa","1096","1215","1359","1525","1715","1932","2148","2370","2607","2932","3338"
"Punjab","2910","3103","3308","3529","3876","4035","4294","4573","4832","5274","5274"
"Rajasthan","2943","3197","3487","3834","4261","4754","5336","5902","6490","7166","7986"
"Sikkim","12","13","15","17","20","22","25","26","29","34","39"
"Tamil Nadu ","5162","5658","8005","8575","9257","10054","10981","11930","12891","14062","15638"
"Tripura","50","57","66","76","73","106","120","131","144","160","188"
"Uttarakhand","364","406","457","516","573","643","643","731","787","831","997"
"Uttar Pradesh","4921","5171","5928","6460","7344","7989","9086","9826","10779","11988","13287"
"West Bengal","1690","1690","2366","2548","2681","2827","3198","2762","3044","2747","3261"
"TOTAL STATES","50639","54482","62073","67466","76218","83953","89936","98072","107163","119240","132725"
"A. & N. Islands","25","28","28","28","37","41","48","53","60","62","69"
"Chandigarh","386","386","562","586","617","647","678","712","747","949","1008"
"D. & N. Haveli ","13","13","31","35","40","45","51","58","63","69","76"
"Daman & Diu","37","41","44","48","51","55","62","68","70","72","78"
"Delhi","3635","3699","3971","4237","4187","4487","5492","5899","6302","6747","7228"
"Lakshadweep","4","5","5","5","5","6","7","7","7","8","9"
"Puducherry","252","270","293","313","347","384","432","484","538","599","673"
"TOTAL UTs","4352","4442","4934","5252","5283","5665","6771","7281","7788","8506","9140"
